fips,population,hispanic,minority,female,unemployed,income,nodegree,bachelor,inactivity,obesity,density,votergap20,votergap16
42015,61131,1.54,2.67,50.435,5.7,47.242,12.1,17,25.5,32.5,241.7,-44.9418084,-46.041
42019,184694,1.38,3.691,50.704,4.6,60.851,6.8,31.7,21.7,28.5,1034.7,-32.5237192,-37.548
42027,146212,2.959,11.632,47.446,3.8,51.573,7.1,40.4,16.4,26.6,171.1,4.7526873,1.931
42029,498894,7.256,13.634,50.798,3.7,85.613,7.2,48.8,17.1,23,138.7,17.1086353,9.228
42033,82324,2.937,4.76,47.684,6.4,40.23,12.8,13.2,28.7,36.8,66.6,-49.5408655,-49.581
42043,258934,8.609,26.378,51.55,4.5,52.967,11.3,28.2,23.2,32.5,431.6,8.5330601,2.817
42045,558028,3.688,29.355,51.97,4.7,62.867,8.1,35.5,21.9,24,510.6,26.8016748,21.981
42061,45395,1.866,7.517,46.836,6.8,44.531,12.3,14.3,23.6,29.4,67.2,-50.965251,-50.687
42063,87450,1.383,5.233,50.061,6.1,42.611,11.4,23.3,28,37.2,52.5,-37.513957,-35.655
42075,130506,12.001,6.557,50.837,4.4,53.861,14.4,19.8,22.8,29.5,254.4,-31.8190699,-35.555
42087,45937,1.417,2.652,50.865,5.6,40.957,18,11.9,26.8,32,173.4,-56.1203609,-57.498
42093,17715,2.813,5.949,52.261,4.2,54.547,10.4,28.3,22.6,32.5,1655.9,-21.2158428,-28.389
45001,25098,1.304,30.27,51.348,6.9,35.525,22.3,12.3,31,35.2,385.7,-33.089359,-28.254
45003,156017,5.468,28.733,51.482,5.9,48.537,14.3,24.8,24.3,31.9,51.8,-22.6730059,-27.49
45019,355276,5.039,31.824,51.632,4.8,52.752,10.8,40,19.9,24.6,39.8,12.8796428,7.856
45027,32988,2.976,50.226,50.848,7.8,32.268,21.2,13.6,28.6,42.3,58.5,-0.6633598,2.567
45041,134208,2.461,45.601,53.125,6.6,42.232,16.8,21.5,28.8,34.1,34.9,-2.2663153,-4.965
45055,60042,4.193,28.208,51.565,6,45.411,15.9,20,29.7,31.7,37.8,-23.1110054,-24.835
