fips,never,rarely,sometimes,frequently,always
6017,2.8,4.2,7.2,18.3,67.5
6019,2.1,2.2,5.9,15.6,74.1
6021,2.8,2.6,14.6,20.6,59.4
6023,4.2,0.6,1.8,6.9,86.5
6025,0.1,0.5,3,12.8,83.6
6027,3.3,1.1,0.8,5.8,88.9
6029,2.2,2.8,10.5,17.7,66.8
6031,7.5,1.6,4.9,9.4,76.6
6033,0.3,0.4,0.7,13.6,84.9
6035,6.4,6.8,16.2,22.5,48.2
6037,2.1,1.3,4.9,13.1,78.6
6039,1.9,5.9,4.8,12.4,75.1
6041,1.1,0,4.6,14.1,80.2
6043,1,9.4,4.9,18.6,66.1
6045,0.2,0.3,0.4,22.2,77
6047,2.6,3.6,8.9,14.6,70.3
6049,6.8,1.9,9.5,20.4,61.5
6051,1.1,2.6,1.2,7,88
6053,2.3,0.6,6.6,14.1,76.3
6055,1.7,2.6,3.3,14.9,77.3
6057,0.3,5.4,8.4,17.7,68.2
6059,2.3,2.1,4.6,15.6,75.4
6061,1.2,2.3,7.2,20.1,69.3
6063,6.3,6.7,5.3,14.6,67.1
6065,2.6,1.4,4.1,11.6,80.3
6067,2.5,2.8,6.2,16.4,72.2
6069,1.8,0.4,6.3,17.5,73.9
6071,2.7,2.2,4.8,13.4,76.8
6073,1.7,2.3,3.4,12.6,80
6075,1.7,1.1,3.5,12.1,81.7
6077,5.4,1.9,8.1,16.5,68
6079,2.5,2.4,3.7,16.9,74.5
6081,1.6,1.3,5.8,12.6,78.6
6083,1.5,2,7.5,15.3,73.7
6085,1.5,1.4,4,16.8,76.4
6087,0.8,0,8.6,10.9,79.7
6089,9.5,5.6,7.1,23.2,54.7
6091,14,5.3,4.7,14.3,61.7
6093,13.2,7.4,8.2,16.7,54.6
6095,4.3,4.6,3.5,14.8,72.8
6097,2.2,1.2,2.2,14.9,79.5
6099,3.2,2.8,6.2,17.3,70.5
6101,5.8,3.1,8,16.3,66.9
6103,5.7,6.2,14.1,19.5,54.5
6105,8.1,7,5.5,20.1,59.2
6107,2.5,3.9,11.5,13.6,68.5
6109,0.8,4.3,8.4,21.2,65.3
6111,2.4,1.1,3.3,15.6,77.7
6113,0.7,0.5,4,15.6,79.1
6115,5.7,3.5,7.1,16.7,66.9
